Rank Country                Population  Population[%]   Annual growth   Annual growth[%]    Doubling rate [years]
1    Russia                 144031000   16.91           278000          0.19                368
2    Germany                81459000    9.54            256000          0.32                220
3    Turkey                 78214000    9.18            1035000         1.34                52
4    France                 66484000    7.8             261022          0.39                177
5    United Kingdom         65081276    7.64            484000          0.75                92
6    Italy                  60963000    7.16            298000          0.49                141
7    Spain                  46423064    5.44            -28000          -0.06t               - 
8    Ukraine                42850000    5.03            -136000         -0.32               - 
9    Poland                 38494000    4.52            20000           0.05                1334
10   Romania                19822000    2.33            -81000          -0.41               - 
11   Kazakhstan             17543000    2.06            251000          1.45                48
12   Netherlands            17003777    1.99            62000           0.37                189
13   Belgium                11259000    1.32            58000           0.52                134
14   Greece                 10769000    1.26            -12000          -0.11               - 
15   Czech Republic         10535000    1.24            -6000           -0.06               - 
16   Portugal               10311000    1.21            -58000          -0.56               - 
17   Sweden                 9858794     1.15            100000          1.03                68
18   Hungary                9835000     1.15            -28000          -0.28               - 
19   Azerbaijan             9651000     1.13            117000          1.23                57
20   Belarus                9481000     1.11            0               0                   - 
21   Austria                8608000     1.01            57000           0.67                104
22   Switzerland            8265000     0.97            71000           0.87                80
23   Bulgaria               7185000     0.84            -41000          -0.57               - 
24   Serbia                 7103000     0.83            -29000          -0.41               - 
25   Denmark                5673000     0.67            27000           0.48                145
26   Finland                5475000     0.64            6000            0.11                632
27   Slovakia               5426000     0.64            7000            0.13                537
28   Norway                 5194000     0.61            57000           1.11                63
29   Ireland                4630000     0.54            16000           0.35                200
30   Croatia                4230000     0.5             -13000          -0.31               - 
31   Bosnia and Herzegovina 3750000     0.44            -24000          -0.64               - 
32   Georgia                3707000     0.44            -46000          -1.23               - 
33   Moldova                3564000     0.42            17000           0.48                145
34   Armenia                3010000     0.35            -1000           -0.03               - 
35   Lithuania              2906000     0.34            -25000          -0.85               - 
36   Albania                2887000     0.34            -12000          -0.41               - 
37   Macedonia              2071000     0.24            3000            0.15                478
38   Slovenia               2065000     0.24            3000            0.15                477
39   Latvia                 1979000     0.23            -18000          -0.9                - 
40   Estonia                1315000     0.15            6000            0.46                152
41   Cyprus                 876000      0.1             4000            0.46                151
42   Montenegro             620000      0.07            0               0                   - 
43   Luxembourg             570000      0.07            14000           2.52                28
44   Malta                  425000      0.05            2000            0.47                147
45   Iceland                331000      0.04            4000            1.22                57
46   Andorra                78000       0.01            1000            1.3                 54
47   Liechtenstein          37000       0               0               0                   - 
48   Monaco                 37000       0               0               0                   - 
49   San Marino             33000       0               0               0                   - 
50   Vatican City           800         0               0               0                   - 
